power,method
0.758954685153085,mcmc
0.752111084480614,mcmc
0.722188432004912,mcmc
0.75626252381285,mcmc
0.753424040951804,mcmc
0.758943154112213,mcmc
0.729293682655332,mcmc
0.739053904438958,mcmc
0.742010962050725,mcmc
0.691701545796426,mcmc
0.755599059390309,mcmc
0.720607805308453,mcmc
0.719349659500614,mcmc
0.733152847958339,mcmc
0.710472996093941,mcmc
0.726411097407776,mcmc
0.740729888895294,mcmc
0.725448645018019,mcmc
0.744702173245122,mcmc
0.72860336196087,mcmc
0.742837326572399,mcmc
0.714527642403826,mcmc
0.724430866591775,mcmc
0.720161729253821,mcmc
0.743136403217027,mcmc
0.790800212882418,mcmc
0.745761781659233,mcmc
0.723916956445235,mcmc
0.720685722511438,mcmc
0.738196299704479,mcmc
0.70268044312415,mcmc
0.761044791304535,mcmc
0.750540046958794,mcmc
0.700998237359304,mcmc
0.721234545057445,mcmc
0.76391048104245,mcmc
0.7186520536744,mcmc
0.780300278807592,mcmc
0.684613139143659,mcmc
0.765071651747272,mcmc
0.734983968864846,mcmc
0.728008244941965,mcmc
0.72346035812413,mcmc
0.754699763096933,mcmc
0.708775372342986,mcmc
0.781316414440321,mcmc
0.728670248421925,mcmc
0.745762212239389,mcmc
0.733732898392517,mcmc
0.746380538500988,mcmc
0.767002181932597,mcmc
0.733815678892094,mcmc
0.72535008095811,mcmc
0.737730044760008,mcmc
0.756160440141949,mcmc
0.760003791602774,mcmc
0.74437019661336,mcmc
0.737610119292679,mcmc
0.74367171359651,mcmc
0.739444437358136,mcmc
0.71248192290074,mcmc
0.730564889913443,mcmc
0.730587809687185,mcmc
0.768119406328157,mcmc
0.725775461257764,mcmc
0.755301534773368,mcmc
0.734366418048546,mcmc
0.698084798996766,mcmc
0.729391553683742,mcmc
0.767533718115332,mcmc
0.726731052744927,mcmc
0.744378816315184,mcmc
0.740178884224104,mcmc
0.768704822746081,mcmc
0.751638715568327,mcmc
0.774023620687809,mcmc
0.71430481440421,mcmc
0.779635990289177,mcmc
0.790144154506321,mcmc
0.739360083468363,mcmc
0.714086126302711,mcmc
0.716043881831701,mcmc
0.787806126918126,mcmc
0.726466611891007,mcmc
0.743029242276957,mcmc
0.692068636105671,mcmc
0.771045418687801,mcmc
0.718642953053661,mcmc
0.701527194471408,mcmc
0.738377426538045,mcmc
0.735353997538165,mcmc
0.708552724123553,mcmc
0.737481078575584,mcmc
0.727080365422443,mcmc
0.714628445461683,mcmc
0.716162003636779,mcmc
0.721559690905582,mcmc
0.713896019903947,mcmc
0.712530147664159,mcmc
0.721913666520726,mcmc
0.717483137118597,mcmc
0.742137559068972,mcmc
0.707127783128585,mcmc
0.780739290512905,mcmc
0.755622403927147,mcmc
0.752907036724995,mcmc
0.726442765581496,mcmc
0.758824360305075,mcmc
0.701286522427598,mcmc
0.703666501572756,mcmc
0.719025313060575,mcmc
0.738399575130988,mcmc
0.72742671779428,mcmc
0.69106635264967,mcmc
0.779281609007971,mcmc
0.735104009836719,mcmc
0.681098549227891,mcmc
0.735212338102547,mcmc
0.702514640723792,mcmc
0.713302225786115,mcmc
0.761161149692694,mcmc
0.751191647796524,mcmc
0.773811795101828,mcmc
0.702435968221772,mcmc
0.720459242798268,mcmc
0.711727189290454,mcmc
0.764548555406317,mcmc
0.802125622249739,mcmc
0.755103016032482,mcmc
0.681243036379079,mcmc
0.743947084686727,mcmc
0.752554539386204,mcmc
0.735054817423479,mcmc
0.752280355164865,mcmc
0.731603129304011,mcmc
0.720478578616635,mcmc
0.767111875083332,mcmc
0.707522803613387,mcmc
0.691172033826889,mcmc
0.734201808278934,mcmc
0.742924179801525,mcmc
0.737260740683952,mcmc
0.750941849604804,mcmc
0.745357654818858,mcmc
0.682723972555372,mcmc
0.744330461083824,mcmc
0.712640521846623,mcmc
0.721615914725752,mcmc
0.764393978567119,mcmc
0.715798028285296,mcmc
0.724548726135596,mcmc
0.71605129535375,mcmc
0.753759269960819,mcmc
0.758396982225585,mcmc
0.726514458853695,mcmc
0.718121408061975,mcmc
0.755592447206345,mcmc
0.751197507774886,mcmc
0.722432775930628,mcmc
0.742403129381291,mcmc
0.736096110081197,mcmc
0.716925863840026,mcmc
0.705038778088284,mcmc
0.717130985338733,mcmc
0.774690798066225,mcmc
0.771065582894661,mcmc
0.739094019375688,mcmc
0.744737639547904,mcmc
0.71752293964932,mcmc
0.724472076905198,mcmc
0.736352485583944,mcmc
0.755858220153843,mcmc
0.752745343520686,mcmc
0.708066624083151,mcmc
0.740328955965778,mcmc
0.747986996443849,mcmc
0.742108574224778,mcmc
0.719704474997282,mcmc
0.761146833608948,mcmc
0.736359506005525,mcmc
0.684081476046324,mcmc
0.745887085800334,mcmc
0.746724695111691,mcmc
0.719918701359059,mcmc
0.774326890524035,mcmc
0.694518571266916,mcmc
0.750524444382495,mcmc
0.74177363661273,mcmc
0.745657948855936,mcmc
0.786156446343658,mcmc
0.715999287023094,mcmc
0.726708568273706,mcmc
0.732869232824455,mcmc
0.714402840410296,mcmc
0.735573241196463,mcmc
0.727526986326018,mcmc
0.737143575502256,mcmc
0.723330174531475,mcmc
0.716412229504384,mcmc
0.695878464973158,mcmc
0.715402132996552,mcmc
0.711060261720572,mcmc
0.724242863191927,mcmc
0.761061608723782,mcmc
0.721709942926828,mcmc
0.74733868476836,mcmc
0.744090915035879,mcmc
0.729724942227459,mcmc
0.729540123141709,mcmc
0.759535893982547,mcmc
0.832906033013117,mcmc
0.741365323063754,mcmc
0.768564440332606,mcmc
0.761334086305348,mcmc
0.723171471349939,mcmc
0.745075452445012,mcmc
0.712884084221768,mcmc
0.75994119992184,mcmc
0.737405741045294,mcmc
0.733831469328244,mcmc
0.719470480438947,mcmc
0.715798021198225,mcmc
0.730832544919629,mcmc
0.733591142890603,mcmc
0.727903210450312,mcmc
0.743281983811556,mcmc
0.774799985884327,mcmc
0.731315522469841,mcmc
0.742904500091858,mcmc
0.74482206608129,mcmc
0.749415611434507,mcmc
0.74149315119448,mcmc
0.744719414131192,mcmc
0.742677531037983,mcmc
0.716588939505655,mcmc
0.735245677539585,mcmc
0.712298856790903,mcmc
0.737039909020707,mcmc
0.74128533681922,mcmc
0.738087607515859,mcmc
0.686685516539466,mcmc
0.72999964782234,mcmc
0.729729480021767,mcmc
0.733876923123327,mcmc
0.719439995737486,mcmc
0.721254634405908,mcmc
0.780183441193204,mcmc
0.721391994625936,mcmc
0.734204702954985,mcmc
0.750518166941476,mcmc
0.768991881382085,mcmc
0.762956118220953,mcmc
0.723207471858659,mcmc
0.721517462247543,mcmc
0.725195414095499,mcmc
0.733649016645059,mcmc
0.745005052055211,mcmc
0.750279810773987,mcmc
0.743673356142885,mcmc
0.745656760917593,mcmc
0.715037801542146,mcmc
0.712045856721552,mcmc
0.688708038488909,mcmc
0.741730568114225,mcmc
0.771137333922566,mcmc
0.740794848335093,mcmc
0.732435178490024,mcmc
0.717323203650688,mcmc
0.784049574150313,mcmc
0.754627366744051,mcmc
0.735635506939042,mcmc
0.705066163848772,mcmc
0.753932463556888,mcmc
0.774801632795911,mcmc
0.754624948336433,mcmc
0.800340013720007,mcmc
0.740698581660145,mcmc
0.729864029447579,mcmc
0.765782441390924,mcmc
0.739821674202562,mcmc
0.723509878706852,mcmc
0.731267306213112,mcmc
0.723817600132561,mcmc
0.714636971260039,mcmc
0.76220694063226,mcmc
0.782886061871538,mcmc
0.718952843603499,mcmc
0.757288968122019,mcmc
0.758365406789984,mcmc
0.761515998431108,mcmc
0.763154722400899,mcmc
0.705746728367353,mcmc
0.717491194044135,mcmc
0.722463059183872,mcmc
0.745987517754364,mcmc
0.719167220042764,mcmc
0.73455918227511,mcmc
0.721394230711145,mcmc
0.727874548015902,mcmc
0.740984777429031,mcmc
0.746878668259572,mcmc
0.737652962029805,mcmc
0.675700722540607,mcmc
0.709186485792254,mcmc
0.750175147107196,mcmc
0.71305259770988,mcmc
0.753220368195163,mcmc
0.729434241258104,mcmc
0.73722139189093,mcmc
0.801573886968204,mcmc
0.751897866066179,mcmc
0.708372467163437,mcmc
0.692451658476564,mcmc
0.731358496789253,mcmc
0.732712542764018,mcmc
0.769700074583849,mcmc
0.723974372049648,mcmc
0.73514801424578,mcmc
0.735546012623713,mcmc
0.73180901012154,mcmc
0.712466008061402,mcmc
0.71809544825111,mcmc
0.733621493598433,mcmc
0.715333635458513,mcmc
0.787924449331126,mcmc
0.717494104525784,mcmc
0.695830233783364,mcmc
0.757882400721708,mcmc
0.719903487013693,mcmc
0.74589163750138,mcmc
0.701429738107707,mcmc
0.757222446850041,mcmc
0.714194649017583,mcmc
0.704552492926875,mcmc
0.714240974929851,mcmc
0.747633983543735,mcmc
0.743744890590613,mcmc
0.698856661906617,mcmc
0.707498134209847,mcmc
0.699746464218715,mcmc
0.737989329390553,mcmc
0.688083806332082,mcmc
0.724809459978612,mcmc
0.74877356591167,mcmc
0.753778362022636,mcmc
0.759159289053531,mcmc
0.755425175740971,mcmc
0.730195041386114,mcmc
0.721982459591135,mcmc
0.742308415433307,mcmc
0.740497596409199,mcmc
0.763061591075726,mcmc
0.712200403452688,mcmc
0.750306481722573,mcmc
0.722116330294233,mcmc
0.739307672683098,mcmc
0.694220453408988,mcmc
0.784692027136376,mcmc
0.697799465292718,mcmc
0.746218433290659,mcmc
0.711857844955169,mcmc
0.745877765384718,mcmc
0.730460548657448,mcmc
0.770905633927659,mcmc
0.715192775833001,mcmc
0.742063434246992,mcmc
0.682328588015318,mcmc
0.726697363093553,mcmc
0.741604840274089,mcmc
0.726132888343937,mcmc
0.725073972856005,mcmc
0.7292170823196,mcmc
0.770345553029516,mcmc
0.713680363780488,mcmc
0.747556162082057,mcmc
0.711101900375024,mcmc
0.696420468881349,mcmc
0.737141373992382,mcmc
0.715665081791119,mcmc
0.685335658473645,mcmc
0.718960758051168,mcmc
0.790433317947561,mcmc
0.749393044540922,mcmc
0.815318838006549,mcmc
0.723479113875951,mcmc
