power,method
0.680466868078757,mcmc
0.712955095687981,mcmc
0.438288918416564,mcmc
0.713351370143423,mcmc
0.512281107886224,mcmc
0.481903105832264,mcmc
0.481085222102971,mcmc
0.717206282454094,mcmc
0.507307869696202,mcmc
0.71342998390588,mcmc
0.487311936098909,mcmc
0.72130852481035,mcmc
0.472129101128408,mcmc
0.466128844533738,mcmc
0.494007245370645,mcmc
0.756039177289777,mcmc
0.476415153355905,mcmc
0.480349729362411,mcmc
0.527369494604513,mcmc
0.686935951421109,mcmc
0.535228467848919,mcmc
0.474329896015113,mcmc
0.716044408858358,mcmc
0.506826117588065,mcmc
0.716204070549362,mcmc
0.521896688530972,mcmc
0.497620170653765,mcmc
0.712549793735495,mcmc
0.702463931560287,mcmc
0.511689877477322,mcmc
0.715698030352265,mcmc
0.707923886401427,mcmc
0.719788597880169,mcmc
0.489502409808257,mcmc
0.504205778129205,mcmc
0.475543258288102,mcmc
0.462697769823035,mcmc
0.727711756722835,mcmc
0.476329234446526,mcmc
0.507876841952771,mcmc
0.49021408772454,mcmc
0.695618660153221,mcmc
0.479059675850363,mcmc
0.719384106742821,mcmc
0.714999177204954,mcmc
0.710432936173562,mcmc
0.69703736484322,mcmc
0.494700745877191,mcmc
0.705925579117404,mcmc
0.707270041832435,mcmc
0.502031973638894,mcmc
0.707000606359629,mcmc
0.493179019324932,mcmc
0.493149379114881,mcmc
0.708015295195355,mcmc
0.48529680478336,mcmc
0.727060481609195,mcmc
0.734159205297732,mcmc
0.495111318031094,mcmc
0.677467156843901,mcmc
0.691197768763012,mcmc
0.720977938495385,mcmc
0.482288041892279,mcmc
0.499367879091774,mcmc
0.481944563159278,mcmc
0.479240912399099,mcmc
0.70774553685955,mcmc
0.700670935337192,mcmc
0.715248789186688,mcmc
0.551302978378753,mcmc
0.72763923314232,mcmc
0.494472705934778,mcmc
0.727594520715501,mcmc
0.71512358499164,mcmc
0.510597841479046,mcmc
0.701310639937205,mcmc
0.725067929717706,mcmc
0.473656753482171,mcmc
0.685235184161724,mcmc
0.46615528013283,mcmc
0.495750831632071,mcmc
0.518714867426241,mcmc
0.456879604797197,mcmc
0.740318965260971,mcmc
0.482580637904437,mcmc
0.734894673738688,mcmc
0.724890667109295,mcmc
0.703059686175399,mcmc
0.699130512598586,mcmc
0.50873134432492,mcmc
0.468075354847258,mcmc
0.501239265299571,mcmc
0.469768711118807,mcmc
0.716243176099425,mcmc
0.528450783853602,mcmc
0.494574983075746,mcmc
0.535586470295769,mcmc
0.725398897047514,mcmc
0.51260938028387,mcmc
0.481909321210073,mcmc
0.689567244260789,mcmc
0.469294985801189,mcmc
0.717892731173538,mcmc
0.459493851109328,mcmc
0.695111118719034,mcmc
0.518395019345683,mcmc
0.69368314026252,mcmc
0.507554046472975,mcmc
0.721122797943766,mcmc
0.480309306543171,mcmc
0.511967488257735,mcmc
0.72239947293693,mcmc
0.720550067696241,mcmc
0.497384318272784,mcmc
0.467433851140114,mcmc
0.734918657201989,mcmc
0.479782902591229,mcmc
0.546557723678085,mcmc
0.500324248358396,mcmc
0.713493164004057,mcmc
0.494369840911491,mcmc
0.493547683582134,mcmc
0.492562527775903,mcmc
0.481576010594261,mcmc
0.475504141924566,mcmc
0.692979415171372,mcmc
0.723703492264619,mcmc
0.51832456433128,mcmc
0.498313910964482,mcmc
0.709263302725512,mcmc
0.501810722605128,mcmc
0.718525528203414,mcmc
0.73676975782276,mcmc
0.709956274923428,mcmc
0.522366134033953,mcmc
0.490036431926211,mcmc
0.491495625482638,mcmc
0.511078243492325,mcmc
0.534794063188179,mcmc
0.5112445457706,mcmc
0.705651018916209,mcmc
0.719582284940813,mcmc
0.477722260013561,mcmc
0.718440424220286,mcmc
0.68199749859576,mcmc
0.702650770481903,mcmc
0.522963171382334,mcmc
0.511213513768792,mcmc
0.475439896272954,mcmc
0.7199592763127,mcmc
0.466869634658148,mcmc
0.708108170813549,mcmc
0.542574377600466,mcmc
0.535892471664594,mcmc
0.552420725487368,mcmc
0.444884897031786,mcmc
0.471144712010891,mcmc
0.718747613982038,mcmc
0.527666480345467,mcmc
0.683775671211833,mcmc
0.682071252338782,mcmc
0.716015013925654,mcmc
0.477837113817846,mcmc
0.719757957019024,mcmc
0.718063166295028,mcmc
0.719389316921034,mcmc
0.482964438622582,mcmc
0.725332816560958,mcmc
0.474980141267635,mcmc
0.500889414343461,mcmc
0.491296235819725,mcmc
0.462146369419791,mcmc
0.45855763235546,mcmc
0.467504494069315,mcmc
0.522792986763894,mcmc
0.704757808487128,mcmc
0.561672419570187,mcmc
0.714945212138291,mcmc
0.708843430548207,mcmc
0.485939385442829,mcmc
0.728053845112703,mcmc
0.718489279452391,mcmc
0.500210226898484,mcmc
0.471458476174342,mcmc
0.73306380687632,mcmc
0.720771184346187,mcmc
0.49686339289862,mcmc
0.720106359003017,mcmc
0.731728872442975,mcmc
0.477768394263215,mcmc
0.730600029050865,mcmc
0.501075808198196,mcmc
0.694909517444792,mcmc
0.709507385399423,mcmc
0.7050773531099,mcmc
0.690428727858896,mcmc
0.464492403823161,mcmc
0.478884679214503,mcmc
0.708241478967203,mcmc
0.703955887735329,mcmc
0.700768279210744,mcmc
0.707446853124394,mcmc
0.503339243725818,mcmc
0.496577444879884,mcmc
0.514084998452712,mcmc
0.482032496490168,mcmc
0.445845356721589,mcmc
0.486147933820734,mcmc
0.71368390822053,mcmc
0.461139417055941,mcmc
0.700279486250174,mcmc
0.694726987873189,mcmc
0.474244757694699,mcmc
0.485900923873562,mcmc
0.506308099157963,mcmc
0.484096824690755,mcmc
0.724949932723934,mcmc
0.699346422705985,mcmc
0.719086403395858,mcmc
0.508310278423897,mcmc
0.678666249014221,mcmc
0.527847791482761,mcmc
0.739968689123486,mcmc
0.720497924512524,mcmc
0.728754102922168,mcmc
0.704588300331037,mcmc
0.497133747753173,mcmc
0.727849960539756,mcmc
0.712334441664438,mcmc
0.508435895811106,mcmc
0.46713137089425,mcmc
0.72187077889043,mcmc
