power,method
0.199462710586072,mcmc
0.228290394464707,mcmc
0.19663331649165,mcmc
0.214089463805881,mcmc
0.209109160354169,mcmc
0.224242299313728,mcmc
0.237574077804765,mcmc
0.212678987009887,mcmc
0.214769496740822,mcmc
0.205590654513664,mcmc
0.222187421815985,mcmc
0.212208703480495,mcmc
0.196631086733702,mcmc
0.220691754417635,mcmc
0.225002669314932,mcmc
0.21683212628128,mcmc
0.216154243713771,mcmc
0.215937295382523,mcmc
0.21635463874999,mcmc
0.206557724083924,mcmc
0.219498209438971,mcmc
0.199304144955106,mcmc
0.217110213937551,mcmc
0.21821308554556,mcmc
0.238666885726591,mcmc
0.229098068291052,mcmc
0.232342924249999,mcmc
0.222305187149662,mcmc
0.216378532365437,mcmc
0.209058129418269,mcmc
0.213167069966253,mcmc
0.223845692951281,mcmc
0.224725100553934,mcmc
0.223009788830428,mcmc
0.220265270809375,mcmc
0.2347768148752,mcmc
0.210307126795666,mcmc
0.209791697219325,mcmc
0.219380575241833,mcmc
0.204728911830056,mcmc
0.215429166846309,mcmc
0.202923561290652,mcmc
0.21669679079752,mcmc
0.221993405077919,mcmc
0.218098615393176,mcmc
0.218671044441843,mcmc
0.216492470584158,mcmc
0.221545097524205,mcmc
0.196316383485687,mcmc
0.219131095730118,mcmc
0.215864755905445,mcmc
0.21351109545918,mcmc
0.223737403843427,mcmc
0.207375661832578,mcmc
0.201139440206072,mcmc
0.213984121031355,mcmc
0.220383034539159,mcmc
0.215067408088441,mcmc
0.232756887859392,mcmc
0.203550695010537,mcmc
0.206493193193727,mcmc
0.206914368509779,mcmc
0.19803070915259,mcmc
0.216483832894438,mcmc
0.22351748835073,mcmc
0.223211026874679,mcmc
0.212668663298581,mcmc
0.220964746867135,mcmc
0.21773533633354,mcmc
0.220505389223075,mcmc
0.211789767435094,mcmc
0.213515689059231,mcmc
0.198072107366562,mcmc
0.213342942441214,mcmc
0.205383022378553,mcmc
0.215472857821369,mcmc
0.208720748025101,mcmc
0.208024381158268,mcmc
0.210809091092849,mcmc
0.208811694291318,mcmc
0.238777935267283,mcmc
0.212354301228673,mcmc
0.220267230879382,mcmc
0.216481301794586,mcmc
0.205532035707406,mcmc
0.209034341396818,mcmc
0.212818584373344,mcmc
0.217405529577336,mcmc
0.215566919048396,mcmc
0.223818728676052,mcmc
0.236354008176153,mcmc
0.211430958266301,mcmc
0.218898171792457,mcmc
0.228510804215155,mcmc
0.21453591451788,mcmc
0.214916908134069,mcmc
0.216502638019561,mcmc
0.224766971435978,mcmc
0.206024990852758,mcmc
0.203319579416424,mcmc
0.228498676306473,mcmc
0.227133006675132,mcmc
0.226719016616065,mcmc
0.219872270295204,mcmc
0.212904094879935,mcmc
0.208120272712943,mcmc
0.205026161367561,mcmc
0.214620570170857,mcmc
0.207505331188516,mcmc
0.205620713044122,mcmc
0.222617054661063,mcmc
0.207763039855847,mcmc
0.224675902932057,mcmc
0.213802397396922,mcmc
0.195534103334108,mcmc
0.217940369398831,mcmc
0.205770111870473,mcmc
0.19851549025976,mcmc
0.220760020385052,mcmc
0.231703953411973,mcmc
0.208678724279337,mcmc
0.21463982348618,mcmc
0.226431529844739,mcmc
0.220000430140149,mcmc
0.20775639370338,mcmc
0.2148315932921,mcmc
0.208469966805812,mcmc
0.226937490918084,mcmc
0.2154577505369,mcmc
0.226419813940637,mcmc
0.212184330367453,mcmc
0.210213258967407,mcmc
0.210560833791899,mcmc
0.214464721636534,mcmc
0.204948066576347,mcmc
0.194688292239497,mcmc
0.217063964642979,mcmc
0.237839735670743,mcmc
0.202042510314844,mcmc
0.217468059474978,mcmc
0.228015920788683,mcmc
0.207449254098183,mcmc
0.216804588391495,mcmc
0.228760523696871,mcmc
0.204149591036809,mcmc
0.231812217274729,mcmc
0.216652832112231,mcmc
0.227859234266389,mcmc
0.219725609912738,mcmc
0.215832009641739,mcmc
0.215607765578604,mcmc
0.222185765112474,mcmc
0.209839025649082,mcmc
0.233858318324186,mcmc
0.209891813469274,mcmc
0.207968676899615,mcmc
0.220727940088702,mcmc
0.215884233008165,mcmc
0.209048314109012,mcmc
0.234044618113913,mcmc
0.214890740939229,mcmc
0.205932605420822,mcmc
0.240215581023169,mcmc
0.206515347551908,mcmc
0.214221669710605,mcmc
0.229131420675998,mcmc
0.226292847067908,mcmc
0.212857851874185,mcmc
0.215806503727316,mcmc
0.211259270401607,mcmc
0.21467040660641,mcmc
0.239058707451365,mcmc
0.239019991660846,mcmc
0.228332187158582,mcmc
0.207159730452066,mcmc
0.22293731046946,mcmc
0.213382112750455,mcmc
0.208290303701477,mcmc
0.215253785249474,mcmc
0.207621559346637,mcmc
0.222892431021823,mcmc
0.22223800284532,mcmc
0.230151697874341,mcmc
0.217476268924837,mcmc
0.212565375796758,mcmc
0.218389173582807,mcmc
0.224228619404058,mcmc
0.216615457496648,mcmc
0.20895290959292,mcmc
0.219264571708863,mcmc
0.20620244287526,mcmc
0.199439186033961,mcmc
0.217346035212383,mcmc
0.209325596627175,mcmc
0.211736621372506,mcmc
0.20643343624229,mcmc
