power,method
0.269810142106553,mcmc
0.2709706304648782,mcmc
0.2808253454900801,mcmc
0.25594307258291105,mcmc
0.26004366953538643,mcmc
0.28172015841929743,mcmc
0.2798956040721087,mcmc
0.2621197606343063,mcmc
0.27276360273616007,mcmc
0.2643616277403036,mcmc
0.268900829069016,mcmc
0.2628689602788493,mcmc
0.2724765286347256,mcmc
0.25528855443635584,mcmc
0.2723687934606942,mcmc
0.2701304151746945,mcmc
0.26989510059478905,mcmc
0.290069591826236,mcmc
0.2556085475205733,mcmc
0.26446494727369724,mcmc
0.2751407614185441,mcmc
0.2726597454979354,mcmc
0.26564745347427354,mcmc
0.2712507875968261,mcmc
0.2678675482935134,mcmc
0.26392013274399506,mcmc
0.2824592964881443,mcmc
0.24524299890490545,mcmc
0.2708005345598664,mcmc
0.28137427797657993,mcmc
0.2713072084210835,mcmc
0.27946243923554176,mcmc
0.27196563514974087,mcmc
0.26491186370139225,mcmc
0.257920161567741,mcmc
0.2736890365088719,mcmc
0.2663624632891815,mcmc
0.26374110816696633,mcmc
0.24560401111087496,mcmc
0.28074606906072846,mcmc
0.2834972750261175,mcmc
0.29531069533852194,mcmc
0.27207271351205026,mcmc
0.2529792733802948,mcmc
0.25706285256337796,mcmc
0.2531440168942787,mcmc
0.2662649172089561,mcmc
0.27950946647923497,mcmc
0.27958923949882336,mcmc
0.2701052686083885,mcmc
0.24692937435647516,mcmc
0.2649602496891027,mcmc
0.26449348544597817,mcmc
0.26464568856433296,mcmc
0.24544654246428946,mcmc
0.2666920924999773,mcmc
0.260327270758522,mcmc
0.2695992526046836,mcmc
0.27184285552894544,mcmc
0.25193057829440724,mcmc
0.2583756221096716,mcmc
0.288900179318503,mcmc
0.2667463445433469,mcmc
0.2574963207360541,mcmc
0.2658283313836166,mcmc
0.286105136647669,mcmc
0.26760423717341975,mcmc
0.27051134930607657,mcmc
0.25910855023916907,mcmc
0.26359115265653926,mcmc
0.2820795530499385,mcmc
0.25862604139701384,mcmc
0.2499980143857863,mcmc
0.28317980994778374,mcmc
0.27747378443266607,mcmc
0.28172495188918584,mcmc
0.25352329635962534,mcmc
0.27577759297614696,mcmc
0.27492206929406243,mcmc
0.2957841743969388,mcmc
0.2619363476340768,mcmc
0.25348767716632475,mcmc
0.27058200280821687,mcmc
0.2623612055388361,mcmc
0.26666378184176465,mcmc
0.2628551067183821,mcmc
0.26937855993342474,mcmc
0.2774257183700011,mcmc
0.284776364662591,mcmc
0.28732005485036405,mcmc
0.27538241266497016,mcmc
0.27327670031050294,mcmc
0.28187227670117065,mcmc
0.2601184986839026,mcmc
0.2812277399468871,mcmc
0.2737771046800798,mcmc
0.2671169227049327,mcmc
0.2561679303815629,mcmc
0.26102499820271996,mcmc
0.2892090071122834,mcmc
0.26795765854511183,mcmc
0.26872112095758083,mcmc
0.25312381752406143,mcmc
0.2595245175040296,mcmc
0.2621504622346209,mcmc
0.2536637251985247,mcmc
0.26631982164770024,mcmc
0.2616516419499868,mcmc
0.2945846862516406,mcmc
0.2550833778518351,mcmc
0.28856358438856505,mcmc
0.26879119386295514,mcmc
0.25414711271424256,mcmc
0.2651768577942293,mcmc
0.2788328769916334,mcmc
0.2731945377604529,mcmc
0.27196854862099623,mcmc
0.2825940137355613,mcmc
0.26390616832385727,mcmc
0.29333105934063386,mcmc
0.2831609047257434,mcmc
0.27466744427664314,mcmc
0.2602091773458637,mcmc
0.26799415800399806,mcmc
0.2685069649121901,mcmc
0.25716848688131394,mcmc
0.28941126301594294,mcmc
0.27575254374631897,mcmc
0.2558941664826223,mcmc
0.2597911592995327,mcmc
0.26817320327281235,mcmc
0.25454516978325004,mcmc
0.2503852460836126,mcmc
0.26721987815705034,mcmc
0.2687224760875736,mcmc
0.2497830139914396,mcmc
0.2686913478869292,mcmc
0.25720954805413027,mcmc
0.2544046723993089,mcmc
0.2616419698173094,mcmc
0.25688589277474544,mcmc
0.26346316148058585,mcmc
0.28957065468202875,mcmc
0.2796941068634242,mcmc
0.26095674628417626,mcmc
0.25623808214288873,mcmc
0.26075418342962464,mcmc
0.27164212456408604,mcmc
0.2608275755521618,mcmc
0.2572975640646597,mcmc
0.2830228803821777,mcmc
0.2723273151399891,mcmc
0.2830980976645048,mcmc
0.24825485998907834,mcmc
0.28029882155341584,mcmc
0.24221656678438902,mcmc
0.26827047049293573,mcmc
0.2745008522321873,mcmc
0.24616543206970548,mcmc
0.269615851302393,mcmc
0.2897443530709964,mcmc
0.2616617030364444,mcmc
0.270719126251508,mcmc
0.24509918930862912,mcmc
0.25911153731665915,mcmc
0.2733134506951282,mcmc
0.2708027044152547,mcmc
0.29114025682029115,mcmc
0.2583170447478085,mcmc
0.2810357192131153,mcmc
0.26216013645818464,mcmc
0.2721094038519239,mcmc
0.2671643596694873,mcmc
0.26971626735310966,mcmc
0.24798227478924526,mcmc
0.2648113792916224,mcmc
0.25391492576004615,mcmc
0.26844736025630084,mcmc
0.2670200742017611,mcmc
0.27763378776903763,mcmc
0.27661847181735555,mcmc
0.27890384273622393,mcmc
0.25828463086948217,mcmc
0.28423744654682087,mcmc
0.2721298442889035,mcmc
0.26394235086237644,mcmc
0.2680650831740847,mcmc
0.2659525583483334,mcmc
0.2744552802513823,mcmc
0.26517925791772823,mcmc
0.263497250695136,mcmc
0.2719948145198907,mcmc
0.26192152422479653,mcmc
0.2677416216280884,mcmc
0.27656357932215064,mcmc
0.25507452557728966,mcmc
0.2573565069642981,mcmc
0.2812667405228771,mcmc
0.2752136514810542,mcmc
0.25585536928404773,mcmc
0.27623632259111214,mcmc
0.2621164541271413,mcmc
0.24581142064874742,mcmc
0.26692168687059264,mcmc
0.25499098563152534,mcmc
0.2940133463259751,mcmc
0.2731928970209778,mcmc
0.2632462642042762,mcmc
0.310377789703217,mcmc
0.24402007910232865,mcmc
0.24229221566006928,mcmc
0.2703950180412398,mcmc
0.2637357565614885,mcmc
0.25381105683523836,mcmc
0.25103873630076873,mcmc
0.25222448316187024,mcmc
0.26319446213212616,mcmc
0.2684802616570699,mcmc
0.2742310486657812,mcmc
0.2595268552925659,mcmc
0.25816662513821675,mcmc
0.24854365385616495,mcmc
0.27048920061996595,mcmc
0.25104715037997244,mcmc
0.24702936483060703,mcmc
0.265879658975241,mcmc
0.258351622887556,mcmc
0.26341459787755794,mcmc
0.25968753426749897,mcmc
0.28316336423327576,mcmc
0.26367371376981324,mcmc
0.27465715817872166,mcmc
0.27179364587790744,mcmc
0.2401614915592876,mcmc
0.2615897710042831,mcmc
0.2748400890480769,mcmc
0.26132957144630287,mcmc
0.27896333546198576,mcmc
0.2521880364766894,mcmc
0.2561576579651358,mcmc
0.2583548217866369,mcmc
0.2520006950807928,mcmc
0.2579145959316144,mcmc
0.2642439691878402,mcmc
0.2757770304040787,mcmc
0.28360845259569273,mcmc
0.2807094765134572,mcmc
0.2603787521716424,mcmc
0.27666790124882457,mcmc
0.275773547130644,mcmc
0.26406054419996217,mcmc
0.2749495410963981,mcmc
0.2538480921362611,mcmc
0.26085804213312414,mcmc
0.2725250551607324,mcmc
0.2777944335964519,mcmc
0.23739672919208435,mcmc
0.23916714873867145,mcmc
0.2511497357669579,mcmc
0.26796266816282277,mcmc
0.26254354162643,mcmc
0.25765420811078427,mcmc
0.26586285909295626,mcmc
0.27185697665727543,mcmc
0.27594500754500967,mcmc
0.24612112492071714,mcmc
0.2627688014744845,mcmc
0.2853559017847846,mcmc
0.2622555264121957,mcmc
0.24793441802135,mcmc
0.2769148553387852,mcmc
0.2760074505602389,mcmc
0.2618154332183391,mcmc
0.24185981939644113,mcmc
0.27953049461392016,mcmc
0.2806279892816731,mcmc
0.23962956357164333,mcmc
0.2515465291055988,mcmc
0.26935892743254486,mcmc
0.2852745123920817,mcmc
0.26308875068868054,mcmc
0.2682376428038895,mcmc
0.28196182533448155,mcmc
0.2586036233467976,mcmc
0.26340041588936597,mcmc
0.26390250536418103,mcmc
0.26574097148530434,mcmc
0.25888369608093337,mcmc
0.2775652084431559,mcmc
0.2758187649503424,mcmc
0.24252861154451927,mcmc
0.26208337839919116,mcmc
0.2502909945166522,mcmc
0.2605623077720491,mcmc
0.2714678878581775,mcmc
0.28089842939572646,mcmc
0.2860186714021961,mcmc
0.2639976514343008,mcmc
0.2624816282014216,mcmc
0.2683795234510053,mcmc
0.26381823876783744,mcmc
0.2727074110433709,mcmc
0.26153067914422284,mcmc
0.26299852661233775,mcmc
0.26804197470560376,mcmc
0.27537770009232093,mcmc
0.2695003725252464,mcmc
0.25487217887710223,mcmc
0.2596139507812058,mcmc
0.2812177209768353,mcmc
0.27924332943738545,mcmc
0.26374819659377274,mcmc
0.2604553278698356,mcmc
0.2769836531132027,mcmc
0.2628580036920744,mcmc
0.2669947870459514,mcmc
0.2599044207104299,mcmc
0.2692351118338263,mcmc
0.2829689680721793,mcmc
0.2535604136255074,mcmc
0.2719796512020929,mcmc
0.2657166120517153,mcmc
0.2577400102809378,mcmc
0.2713733120856195,mcmc
0.2817189460618951,mcmc
0.2494956947722213,mcmc
0.2666875235896614,mcmc
0.2494003704789255,mcmc
0.2658309809828511,mcmc
0.2575922876702349,mcmc
0.25446996800962596,mcmc
0.26472408685537435,mcmc
0.26079624779545435,mcmc
0.2622862953213555,mcmc
0.29377149837018934,mcmc
0.2814411824026122,mcmc
0.2762302325823577,mcmc
0.26963238620643454,mcmc
0.23974419583664924,mcmc
0.28757194262301733,mcmc
0.27242146399444245,mcmc
0.28080848631089655,mcmc
0.24345622770585504,mcmc
0.27946562602746605,mcmc
0.2513996621166708,mcmc
0.24162040398906615,mcmc
0.27615591945870827,mcmc
0.26747006722175154,mcmc
0.26935988867314364,mcmc
0.2642475203033762,mcmc
0.2844720425916854,mcmc
0.25913139066428487,mcmc
0.28621886706679806,mcmc
0.25454214080938337,mcmc
0.278656992358929,mcmc
0.27917733335861117,mcmc
0.2617402262958986,mcmc
0.2646384051980411,mcmc
0.2627254477550167,mcmc
0.262112998957255,mcmc
0.2916782153043492,mcmc
0.258410550462356,mcmc
0.2625042501365255,mcmc
0.2752857193899492,mcmc
0.25979952752348134,mcmc
0.25629393194088035,mcmc
0.2773063659921558,mcmc
0.2617094129975893,mcmc
0.2725481865059045,mcmc
0.2589680782962426,mcmc
0.27527047038946045,mcmc
0.2570597975438688,mcmc
0.27705074788230505,mcmc
0.26956483292689787,mcmc
0.27850077667108686,mcmc
0.25596616101779435,mcmc
0.24652347996264853,mcmc
0.26310134729505535,mcmc
0.26872028997403574,mcmc
0.25866935765195576,mcmc
0.24296555164710865,mcmc
0.24055498442005913,mcmc
0.26734148744097735,mcmc
0.2934974104595381,mcmc
0.2605240224237944,mcmc
0.2652983418328862,mcmc
0.2723900797134608,mcmc
0.2576212179932712,mcmc
0.2572907697357885,mcmc
0.27057655041199113,mcmc
0.27535695180899916,mcmc
0.2557963894769683,mcmc
0.29104444303609023,mcmc
0.26954507275192585,mcmc
0.2909708989880433,mcmc
0.26342507383270125,mcmc
0.2611963975312618,mcmc
0.23958998877777468,mcmc
0.25558660499913266,mcmc
0.2584336715330336,mcmc
0.2622226653191131,mcmc
