power,method
0.536487522094148,mcmc
0.570061893089623,mcmc
0.57142339350213,mcmc
0.580752354621968,mcmc
0.573755225230779,mcmc
0.589169936389652,mcmc
0.536586483627205,mcmc
0.564491931165515,mcmc
0.569077514664721,mcmc
0.590111627527265,mcmc
0.560427766970685,mcmc
0.573134493079872,mcmc
0.553378995771609,mcmc
0.567105530194718,mcmc
0.568527659777346,mcmc
0.555553139228001,mcmc
0.547516445059842,mcmc
0.577970402638592,mcmc
0.575633813949757,mcmc
0.551245025357197,mcmc
0.580788420941885,mcmc
0.532604138462658,mcmc
0.562842333613526,mcmc
0.533707225846402,mcmc
0.551291152118858,mcmc
0.590412323737268,mcmc
0.582411132919201,mcmc
0.54829634603157,mcmc
0.570581025880465,mcmc
0.578596199543824,mcmc
0.542699826358603,mcmc
0.57210245777351,mcmc
0.566730672061905,mcmc
0.591942958938456,mcmc
0.5388394748776,mcmc
0.567035105483786,mcmc
0.537355575884594,mcmc
0.555371460990906,mcmc
0.584678873804539,mcmc
0.581978355800422,mcmc
0.580908023880831,mcmc
0.556805212785544,mcmc
0.562859888392636,mcmc
0.539596006950793,mcmc
0.530908981569496,mcmc
0.538843883064516,mcmc
0.577119001930759,mcmc
0.566793524967624,mcmc
0.54149848677459,mcmc
0.559924206474558,mcmc
0.542742464684163,mcmc
0.540751588117761,mcmc
0.567306953071425,mcmc
0.566161725399972,mcmc
0.549338163929997,mcmc
0.537546464688695,mcmc
0.533083552664545,mcmc
0.553638604664254,mcmc
0.576131959925288,mcmc
0.564655213195299,mcmc
0.556194668275841,mcmc
0.568773501829112,mcmc
0.540282206272259,mcmc
0.53134788443787,mcmc
0.624423471986723,mcmc
0.540790946104262,mcmc
0.536333968725042,mcmc
0.555843291126855,mcmc
0.578479438627119,mcmc
0.558696353721546,mcmc
0.564772898951384,mcmc
0.548650658920598,mcmc
0.542078893477513,mcmc
0.546759196828615,mcmc
0.53291110132823,mcmc
0.545207442659987,mcmc
0.572826566954875,mcmc
0.571498899420789,mcmc
0.513593098354855,mcmc
0.546406495404661,mcmc
0.562500324723512,mcmc
0.597840064612193,mcmc
0.534512265450961,mcmc
0.557008454536869,mcmc
0.533718477180007,mcmc
0.540626481300653,mcmc
0.562711257333504,mcmc
0.516742170490573,mcmc
0.56439721218204,mcmc
0.546466840472561,mcmc
0.565591424473593,mcmc
0.556088696459802,mcmc
0.545085414325616,mcmc
0.533291939823751,mcmc
0.530142665720608,mcmc
0.583583914960634,mcmc
0.535005195706814,mcmc
0.534595408489024,mcmc
0.539345380997068,mcmc
0.531708546384358,mcmc
0.49830106809852,mcmc
0.515485727959491,mcmc
0.513213403304271,mcmc
0.583722376765927,mcmc
0.559373953620349,mcmc
0.521694827718142,mcmc
0.541772983959885,mcmc
0.531458547789956,mcmc
0.557921829042284,mcmc
0.535218076468282,mcmc
0.545030787518376,mcmc
0.564670586833384,mcmc
0.544452331599937,mcmc
0.563558006020802,mcmc
0.563576702072156,mcmc
0.545706674095943,mcmc
0.548125904980463,mcmc
0.570762965323021,mcmc
0.584235659327849,mcmc
0.532606269210322,mcmc
0.555755633903656,mcmc
0.546444287604007,mcmc
0.56247341755176,mcmc
0.574916836194516,mcmc
0.538818229682268,mcmc
0.55938072017081,mcmc
0.57557881608593,mcmc
0.542609026952048,mcmc
0.549546369708685,mcmc
0.564105139793401,mcmc
0.554456125273285,mcmc
0.548057315483928,mcmc
0.574936845422124,mcmc
0.553208386418049,mcmc
0.561123593090326,mcmc
0.592310535057399,mcmc
0.562111412936471,mcmc
0.553035136197423,mcmc
0.548929848997817,mcmc
0.547024096334993,mcmc
0.562221578566769,mcmc
0.550255567129698,mcmc
0.578745098655291,mcmc
0.579677213249758,mcmc
0.56160424740101,mcmc
