power,method
0.836741453438825,mcmc
0.845227383796877,mcmc
0.826820539705008,mcmc
0.855842121538185,mcmc
0.839485256283985,mcmc
0.831401827128662,mcmc
0.833358655471069,mcmc
0.833473599346715,mcmc
0.812156477363309,mcmc
0.79970868612725,mcmc
0.830808759105672,mcmc
0.82560857445017,mcmc
0.842115308231439,mcmc
0.85685207160597,mcmc
0.816080027013585,mcmc
0.837077827626013,mcmc
0.855146757211523,mcmc
0.851907757216732,mcmc
0.84831387982601,mcmc
0.836698303637988,mcmc
0.843165454461525,mcmc
0.828936133193621,mcmc
0.83868593958831,mcmc
0.854144299529056,mcmc
0.822052166341467,mcmc
0.828407984519502,mcmc
0.845335648896326,mcmc
0.854231219854335,mcmc
0.836838798042725,mcmc
0.823482627330573,mcmc
0.819369335128098,mcmc
0.81727057260436,mcmc
0.844765526584386,mcmc
0.861671217425378,mcmc
0.794156251207316,mcmc
0.836400412484638,mcmc
0.845917787563613,mcmc
0.832092090630225,mcmc
0.873788568900201,mcmc
0.852255274880173,mcmc
0.836376446275759,mcmc
0.839608460047605,mcmc
0.813965049580783,mcmc
0.837209927133078,mcmc
0.830352741742898,mcmc
0.850170436168695,mcmc
0.803955016687638,mcmc
0.844572103701798,mcmc
0.833153413005072,mcmc
0.856677981624969,mcmc
0.823571742020236,mcmc
0.844960411157481,mcmc
0.836891302506716,mcmc
0.853057922715592,mcmc
0.845025030042558,mcmc
0.824293475077761,mcmc
0.864572349899718,mcmc
0.819926032894413,mcmc
0.844321806703497,mcmc
0.821787541013626,mcmc
0.82430744391258,mcmc
0.830015183241127,mcmc
0.834548881368259,mcmc
0.840254617474452,mcmc
0.821613280311082,mcmc
0.831696274603873,mcmc
0.845260835891414,mcmc
0.866133501510411,mcmc
0.82272413327602,mcmc
0.835360563323082,mcmc
0.825680051556327,mcmc
0.845443659333259,mcmc
0.875661919689318,mcmc
0.84224398142488,mcmc
0.821166092159654,mcmc
0.846118481301141,mcmc
0.828167721933178,mcmc
0.858809829360734,mcmc
0.833803120718476,mcmc
0.860885983581317,mcmc
0.833792230031727,mcmc
0.851051589249658,mcmc
0.846647958705042,mcmc
0.827220080182862,mcmc
0.844819860130043,mcmc
0.847106936185401,mcmc
0.831541385622761,mcmc
0.847095154903826,mcmc
0.843845824336384,mcmc
0.812642561176446,mcmc
0.848440433698736,mcmc
0.860435349336981,mcmc
0.844181979173442,mcmc
0.817048582612132,mcmc
0.852719720067205,mcmc
0.848224254075113,mcmc
0.846302820205907,mcmc
0.850448012785212,mcmc
0.840901627397258,mcmc
0.871747876034156,mcmc
